leader,startdate,enddate,angloedu,westedu,noedu,polity2change,BMRtransition,ethfrac,britcolony,igdp,ioil,usally,studentflowthousand
Idris,24/12/1951,01/09/1969,0,0,1,0,NA,0.21545672416687012,0,0.1033485,1,0,0
Ingraham,21/08/1992,03/05/2002,0,0,0,NA,0,NA,1,0.19653400390624998,NA,0,1.7569999694824219
Isa Ibn Al-Khalifah,15/08/1971,06/03/1999,0,0,1,1,NA,0.263893723487854,1,0.1164501,1,0,0.006000000052154064
Izetbegovic,20/12/1990,13/10/1998,0,0,0,NA,NA,0.6971532106399536,0,0.0107432,0,0,0
Jabir As-Sabah,20/04/1991,31/12/2004,0,0,1,NA,0,0.18468618392944336,1,0.16559039062499997,1,0,1.4550000429153442
Jabir As-Sabah,01/01/1978,02/08/1990,0,0,1,0,0,0.18468618392944336,1,0.38250828124999997,1,0,1.0740000009536743
Jagan Cheddi,09/10/1992,06/03/1997,1,1,0,13,1,0.5838412046432495,1,0.01991469970703125,0,0,0.41999998688697815
Jammeh,22/07/1994,31/12/2004,0,0,1,-13,0,0.727814793586731,1,0.008701099853515625,0,0,0.3199999928474426
Jawara,18/02/1965,22/07/1994,1,1,0,0,NA,0.727814793586731,1,0.0087099,0,0,0.006000000052154064
Jayewardene,23/01/1977,02/01/1989,0,0,0,-3,0,0.46704143285751343,1,0.01539,0,0,0.1469999998807907
Jiang Zemin,19/02/1997,15/03/2003,0,0,0,0,0,0.11845237016677856,0,0.0292477001953125,0,0,42.50299835205078
John Agyekum Kufuor,08/01/2001,31/12/2004,1,1,0,4,0,0.7061232924461365,1,0.01392199951171875,0,0,2.127000093460083
Jonathan,04/10/1966,20/01/1986,0,0,1,-16,NA,0.22248250246047974,1,0.0067985,0,0,0
Jorge Batlle,02/03/2000,31/12/2004,0,0,0,0,0,0.1981624960899353,0,0.110141103515625,0,0,0.04899999871850014
Joseph Kabila,17/01/2001,31/12/2004,0,0,1,1,0,0.9016318321228027,0,0.003591499938964844,0,0,0.48899999260902405
Kabbah,10/03/1998,31/12/2004,1,1,0,5,1,0.7688465118408203,1,0.008026300048828126,0,0,0.2619999945163727
Karimov,24/03/1990,31/12/2004,0,0,0,0,NA,0.4845361113548279,0,0.0407506,0,0,0
Karmal,27/12/1979,04/05/1986,0,0,0,NA,0,0.6582809686660767,0,0.02205449951171875,0,0,0.23999999463558197
Karrim Kassem,14/07/1958,08/02/1963,0,0,1,-1,0,0.36247116327285767,1,0.03980610107421875,1,1,0.6959999799728394
Kasavubu,20/09/1960,25/11/1965,0,0,0,-6,NA,0.9016318321228027,0,0.0070145,0,0,0.003000000026077032
Kaunda,24/10/1964,02/11/1991,0,0,1,-11,NA,0.8182163834571838,1,0.0095442,0,0,0
Kayibanda,26/10/1961,05/07/1973,0,0,1,0,NA,0.12921082973480225,0,0.0105907,0,0,0
Keita,22/09/1960,19/11/1968,0,0,1,0,NA,0.7783107161521912,0,0.0079672,0,0,0
Kemakeza,17/12/2001,31/12/2004,0,0,1,NA,0,NA,1,0.020125899658203123,NA,0,0.004999999888241291
Kenilorea,07/07/1978,31/08/1981,0,0,1,0,NA,NA,1,0.0247379,NA,0,0
Kenyatta,12/12/1963,22/08/1978,1,1,0,-9,NA,0.833253800868988,1,0.0119173,0,0,0.5429999828338623
Kerekou,04/04/1996,31/12/2004,0,0,1,0,0,0.6181775331497192,0,0.011304000244140624,0,0,0.09099999815225601
Kerekou,27/10/1972,04/04/1991,0,0,1,2,0,0.6181775331497192,0,0.011098399658203124,0,0,0
Khaleda Zia,10/10/2001,31/12/2004,0,0,0,0,0,0.004975080490112305,1,0.018511600341796875,0,0,3.8450000286102295
Khaleda Zia,20/03/1991,30/03/1996,0,0,0,11,0,0.004975080490112305,1,0.015765100097656252,0,0,2.2699999809265137
Khalid,25/03/1975,13/06/1982,0,0,1,0,0,0.05857950448989868,0,0.32213599609375004,1,0,1.0740000009536743
Khalifah Ath-Thani,22/02/1972,27/06/1995,0,0,1,0,0,NA,1,0.72213921875,NA,0,0.017000000923871994
Khama,30/09/1966,13/07/1980,1,1,0,0,NA,0.5063918232917786,1,0.0082768,0,0,0
Khatami,03/08/1997,31/12/2004,0,0,0,9,0,0.7565816640853882,0,0.053737900390625,1,0,2.128999948501587
Khrushchev,20/03/1953,15/10/1964,0,0,1,2,0,0.33309298753738403,0,0.034383798828125,0,1,0
Kim Il-Sung,09/09/1948,08/07/1994,0,0,1,-2,NA,0.0010000000474974513,0,0.00458,0,0,0.01600000075995922
Kim Jong-Il,08/07/1994,31/12/2004,0,0,0,0,0,0.0010000000474974513,0,0.010589999999999999,0,0,0.07199999690055847
Kocharian,04/02/1998,31/12/2004,0,0,0,11,0,0.1150442361831665,0,0.02804010009765625,0,0,1.0759999752044678
Kolingba,01/09/1981,22/10/1993,0,0,1,1,0,0.6862994432449341,0,0.010653900146484374,0,0,0.007000000216066837
Konan Bedie,07/12/1993,25/12/1999,0,1,0,1,0,0.8592934608459473,0,0.0217677001953125,0,0,0.32199999690055847
Konare,06/06/1992,08/06/2002,0,0,0,6,1,0.7783107161521912,0,0.008729000244140625,0,0,0.10300000011920929
Kostov,21/05/1997,21/07/2001,0,0,0,0,0,0.21994948387145996,0,0.067844501953125,0,0,1.8049999475479126
Kostunica,08/10/2000,31/12/2004,0,0,0,12,1,0.7227722406387329,0,0.019201300048828127,0,0,0.028999999165534973
Kountche,17/04/1974,10/11/1987,0,0,1,0,0,0.7325880527496338,0,0.008909000244140625,0,0,0
Kravchuk,18/07/1990,19/07/1994,0,0,0,-1,NA,0.41860467195510864,0,0.073628,0,0,0
Kubitschek,31/01/1956,31/01/1961,0,1,0,1,0,0.07058024406433105,0,0.0217293994140625,0,1,0.5070000290870667
