groupid,name,year,failure,allies,alliesties,size,religious,ethnic,logpop,namerica,latamerica,ssafrica,meast,asia,cinc,civilwar,decap,spline1,spline2,spline3,democracy,interact,interact_allies,lgdp,gdpb,popt,gdppercap,size1,size2,size3
446,Sudan People's Liberation Army,1989,0,0,0,3,1,1,10.140132904052734,0,0,0,1,0,0.0018411000492051244,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,0,0,0,23.450563430786133,15.291507720947266,25339.833984375,603457.3125,0,0,1
446,Sudan People's Liberation Army,1990,0,0,0,3,1,1,10.167757987976074,0,0,0,1,0,0.0018458999693393707,1,0,-22.5,-18,-10.5,0,0,0,23.24165916442871,12.408647537231445,26049.607421875,476346.8125,0,0,1
446,Sudan People's Liberation Army,1991,0,0,0,3,1,1,10.201497077941895,0,0,0,1,0,0.001961400033906102,1,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,0,0,0,23.155054092407227,11.37922191619873,26943.4921875,422336.5625,0,0,1
446,Sudan People's Liberation Army,1992,0,0,0,3,1,1,10.234623908996582,0,0,0,1,0,0.0022619999945163727,1,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,0,0,0,22.674053192138672,7.034219741821289,27850.994140625,252566.203125,0,0,1
446,Sudan People's Liberation Army,1993,0,0,0,3,1,1,10.26052188873291,0,0,0,1,0,0.0021144000347703695,1,0,-153,-144,-84,0,0,0,22.907268524169922,8.881786346435547,28581.69921875,310750.8125,0,0,1
446,Sudan People's Liberation Army,1994,0,0,0,3,1,1,10.287015914916992,0,0,0,1,0,0.0021617000456899405,1,0,-221.83334350585938,-227.6666717529297,-133.38888549804688,0,0,0,23.27225685119629,12.79419231414795,29349.0625,435931.90625,0,0,1
446,Sudan People's Liberation Army,1995,0,0,0,3,1,1,10.313628196716309,0,0,0,1,0,0.0021410000044852495,1,0,-301.6666564941406,-333.3333435058594,-199.11111450195312,0,0,0,23.350088119506836,13.829745292663574,30140.59375,458841.15625,0,0,1
446,Sudan People's Liberation Army,1996,0,0,0,3,1,1,10.335658073425293,0,0,0,1,0,0.0021591000258922577,1,0,-391.5,-459,-283.5,0,0,0,22.922515869140625,9.018242835998535,30811.955078125,292686.5,0,0,1
446,Sudan People's Liberation Army,1997,0,0,0,3,1,1,10.360443115234375,0,0,0,1,0,0.002293400000780821,1,0,-490.33331298828125,-602.66668701171875,-388.8888854980469,0,0,0,23.181272506713867,11.68149471282959,31585.173828125,369841.0625,0,0,1
446,Sudan People's Liberation Army,1998,0,0,0,3,1,1,10.389326095581055,0,0,0,1,0,0.0023155000526458025,1,0,-597.1666259765625,-762.33331298828125,-517.611083984375,0,0,0,23.14366340637207,11.250328063964844,32510.75,346049.46875,0,0,1
446,Sudan People's Liberation Army,1999,0,0,0,3,1,1,10.414669036865234,0,0,0,1,0,0.002328600035980344,1,0,-711,-936,-671,0,0,0,23.091829299926758,10.682044982910156,33345.19921875,320347.3125,0,0,1
446,Sudan People's Liberation Army,2000,0,0,0,3,1,1,10.439800262451172,0,0,0,1,0,0.002370300004258752,1,0,-830.8333740234375,-1121.6666259765625,-846.388916015625,0,0,0,23.22939682006836,12.257418632507324,34193.8203125,358468.8125,0,0,1
446,Sudan People's Liberation Army,2001,0,0,0,3,1,1,10.464913368225098,0,0,0,1,0,0.0026028999127447605,1,0,-955.666748046875,-1317.3333740234375,-1040.111083984375,0,0,0,23.30219268798828,13.182979583740234,35063.41015625,375975.40625,0,0,1
446,Sudan People's Liberation Army,2002,0,0,0,3,1,1,10.488746643066406,0,0,0,1,0,0.002579699968919158,1,0,-1084.5,-1521,-1248.5,0,0,0,23.418107986450195,14.803189277648926,35909.12109375,412240.375,0,0,1
446,Sudan People's Liberation Army,2003,0,0,0,3,1,1,10.50760269165039,0,0,0,1,0,0.002440500073134899,1,0,-1216.333251953125,-1730.666748046875,-1467.888916015625,0,0,0,23.59380340576172,17.646503448486328,36592.65234375,482241.71875,0,0,1
446,Sudan People's Liberation Army,2004,0,0,0,3,1,1,10.52128791809082,0,0,0,1,0,0.002526999916881323,1,0,-1350.166748046875,-1944.333251953125,-1694.611083984375,0,0,0,23.789339065551758,21.457469940185547,37096.87109375,578417.25,0,0,1
446,Sudan People's Liberation Army,2005,1,0,0,3,1,1,10.539080619812012,0,0,0,1,0,0.0026724000927060843,1,0,-1485,-2160,-1925,0,0,0,24.0013370513916,26.524538040161133,37762.83203125,702398,0,0,1
450,Tawhid and Jihad,1999,0,1,0.1482481211423874,0,1,1,10.000221252441406,0,0,0,1,0,0.005996100138872862,0,0,0,0,0,0,0,0,NA,NA,22031.33984375,NA,0,0,0
450,Tawhid and Jihad,2000,0,1,0.1482481211423874,0,1,1,10.029045104980469,0,0,0,1,0,0.00601059990003705,0,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,0,0,0,NA,NA,22675.607421875,NA,0,0,0
450,Tawhid and Jihad,2001,0,2,0.1482481211423874,0,1,1,10.05757999420166,0,0,0,1,0,0.00622300012037158,0,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,0,0,0,NA,NA,23331.974609375,NA,0,0,0
450,Tawhid and Jihad,2002,0,2,0.1482481211423874,0,1,1,10.085885047912598,0,0,0,1,0,0.006808700039982796,0,0,-22.5,-18,-10.5,0,0,0,NA,NA,24001.822265625,NA,0,0,0
450,Tawhid and Jihad,2003,0,2,0.1482481211423874,0,1,1,10.113883018493652,0,0,0,1,0,0.006626700051128864,0,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,NA,0,0,NA,NA,24683.3203125,NA,0,0,0
450,Tawhid and Jihad,2004,0,3,0.1482481211423874,0,1,1,10.141507148742676,0,0,0,1,0,0.005752400029450655,1,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,NA,0,0,24.32407569885254,36.62790298461914,25374.681640625,1443482.25,0,0,0
450,Tawhid and Jihad,2005,0,3,0.1482481211423874,0,1,1,10.168728828430176,0,0,0,1,0,0.004728999920189381,1,0,-153,-144,-84,NA,0,0,24.63438606262207,49.954891204833984,26074.91015625,1915822.125,0,0,0
453,TKP/ML-TIKKO,1987,0,1,0.001978537067770958,1,0,0,10.882615089416504,0,0,0,1,0,0.01308939978480339,1,0,0,0,0,1,0,0,25.191158294677734,87.17279052734375,53242.65234375,1637273.625,1,0,0
453,TKP/ML-TIKKO,1988,0,1,0.001978537067770958,1,0,0,10.903301239013672,0,0,0,1,0,0.013292299583554268,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,1,0,0,25.232505798339844,90.852813720703125,54355.5078125,1671455.5,1,0,0
453,TKP/ML-TIKKO,1989,0,1,0.001978537067770958,1,0,0,10.9234619140625,0,0,0,1,0,0.01250389963388443,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,1,0,0,25.397430419921875,107.14299774169922,55462.47265625,1931810.75,1,0,0
